alkylated DNA	REACTION1
RH	REACTION528
reduced [NADPH-hemoprotein reductase]	REACTION528
REACTION528	ROH
REACTION528	oxidized [NADPH-hemoprotein reductase]
dTDP	REACTION529
ATP	REACTION529
REACTION529	dTTP
REACTION529	ADP
very long chain alcohol	REACTION530
long-chain acyl-CoA	REACTION530
REACTION530	wax ester
REACTION530	coenzyme A
protein	REACTION531
REACTION531	peptide
REACTION531	peptide
(S)-3-methyl-2-oxopentanoate	REACTION532
coenzyme A	REACTION532
NAD+	REACTION532
REACTION532	2-methylbutanoyl-CoA
REACTION532	NADH
(S)-2-hydroxyglutarate	REACTION533
unknown oxidized electron acceptor	REACTION533
REACTION533	2-oxoglutarate
REACTION533	unknown reduced electron acceptor
reduced c-type cytochrome	REACTION534
REACTION534	oxidized c-type cytochrome
UDP-N-acetyl-alpha-D-glucosamine	REACTION535
fucosyl-protein	REACTION535
REACTION535	UDP
REACTION535	O-beta-D-GlcNAc-fucosyl-protein
N-acetyl-alpha-D-glucosamine 1-phosphate	REACTION536
UTP	REACTION536
REACTION536	UDP-N-acetyl-alpha-D-glucosamine
REACTION536	diphosphate
glutathione	REACTION537
standard alpha amino acid	REACTION537
REACTION537	L-cysteinyl-glycine
REACTION537	(gamma-L-glutamyl)-L-amino acid
dolichyl diphosphooligosaccharide	REACTION538
[protein]-L-asparagine	REACTION538
REACTION538	glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine
REACTION538	dolichyl diphosphate
NAD+	REACTION539
e-	REACTION539
REACTION539	NADH
beta-D-glucuronoside	REACTION540
REACTION540	D-glucopyranuronate
REACTION540	alcohol
L-asparaginyl-[tRNAasn]	REACTION541
REACTION541	L-asparagine
REACTION541	tRNAasn
2-dihydro-NADP	REACTION542
REACTION542	NADP+
S-adenosyl-L-methionine	REACTION543
(R)-noradrenaline	REACTION543
REACTION543	S-adenosyl-L-homocysteine
REACTION543	(R)-adrenaline
ADP-D-ribosyl(n)-acceptor	REACTION544
NAD+	REACTION544
REACTION544	ADP-D-ribosyl(n+1)-acceptor
REACTION544	nicotinamide
RNase III mRNA processing substrate	REACTION545
REACTION545	RNase III processing product mRNA
REACTION545	single-stranded RNA
pyridoxine 5'-phosphate	REACTION546
REACTION546	pyridoxal 5'-phosphate
5-hydroxyindole acetaldehyde	REACTION547
NAD+	REACTION547
REACTION547	5-hydroxyindole acetate
REACTION547	NADH
ATP	REACTION548
protein	REACTION548
REACTION548	ADP
REACTION548	phosphoprotein
GDP-L-fucose	REACTION549
1,3-beta-D-galactosyl-N-acetyl-D-glucosaminyl-R	REACTION549
REACTION549	1,3-beta-D-galactosyl-(alpha-1,4-L-fucosyl)-N-acetyl-D-glucosaminyl- R
REACTION549	GDP
ubiquitin C-terminal thioester	REACTION550
REACTION550	ubiquitin
REACTION550	thiol
androsterone	REACTION551
NAD(P)+	REACTION551
REACTION551	5alpha-androstane-3,17-dione
REACTION551	NAD(P)H
L-tryptophan	REACTION552
REACTION552	N-formylkynurenine
[protein]-(L-serine/L-threonine)	REACTION553
ATP	REACTION553
REACTION553	[protein] (L-serine/L-threonine) phosphate
REACTION553	ADP
ubiquinone	REACTION554
e-	REACTION554
REACTION554	ubiquinol
4-aminobutanal	REACTION555
NAD+	REACTION555
REACTION555	4-aminobutanoate
REACTION555	NADH
3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA	REACTION556
acetyl-CoA	REACTION556
REACTION556	3,22-dioxochol-4-en-24-oyl-CoA
REACTION556	coenzyme A
non-glucuronosylated glucuronoside acceptor	REACTION557
UDP-alpha-D-glucuronate	REACTION557
REACTION557	glucuronosylated glucuronoside acceptor
REACTION557	UDP
4alpha-methyl-zymosterol	REACTION558
NAD(P)H	REACTION558
REACTION558	4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol
REACTION558	NAD(P)+
ATP	REACTION559
[protein]-L-tyrosine	REACTION559
REACTION559	ADP
REACTION559	[protein]-L-tyrosine phosphate
uridine65 in tRNA	REACTION560
REACTION560	tRNA pseudouridine65
N1-acetylspermine	REACTION561
REACTION561	3-aminopropanal
REACTION561	N1-acetylspermidine
AMP	REACTION562
REACTION562	adenosine
REACTION562	phosphate
ATP	REACTION563
protein	REACTION563
REACTION563	ADP
REACTION563	phosphoprotein
NADH[mitochondrial lumen]	REACTION564
ubiquinone[mitochondrial inner membrane]	REACTION564
REACTION564	NAD+[mitochondrial lumen]
REACTION564	ubiquinol[mitochondrial inner membrane]
(25R)-cholest-5-ene-3beta,26-diol	REACTION565
NADPH	REACTION565
REACTION565	(25R)-cholest-5-ene-3beta,7alpha,26-triol
REACTION565	NADP+
[protein] (L-serine/L-threonine) phosphate	REACTION566
REACTION566	[protein]-(L-serine/L-threonine)
REACTION566	phosphate
(S)-methylmalonyl-CoA	REACTION567
REACTION567	propanoyl-CoA
chitin	REACTION568
REACTION568	chitodextrin
insulin-like growth factor-binding protein 4	REACTION569
REACTION569	peptide
REACTION569	peptide
ATP	REACTION570
protein	REACTION570
REACTION570	ADP
REACTION570	phosphoprotein
mRNA	REACTION571
REACTION571	single-stranded RNA
REACTION571	single-stranded RNA
hydroperoxy fatty acid in a glycerolipid	REACTION572
glutathione	REACTION572
REACTION572	lipid
REACTION572	glutathione disulfide
L-homocysteine	REACTION573
glycine betaine	REACTION573
REACTION573	L-methionine
REACTION573	dimethylglycine
5,6-dihydrouracil	REACTION574
NADP+	REACTION574
REACTION574	uracil
REACTION574	NADPH
ATP	REACTION575
[protein]-L-tyrosine	REACTION575
REACTION575	ADP
REACTION575	[protein]-L-tyrosine phosphate
very long chain alcohol	REACTION576
long-chain acyl-CoA	REACTION576
REACTION576	wax ester
REACTION576	coenzyme A
palmitoyl-CoA	REACTION577
REACTION577	palmitate
REACTION577	coenzyme A
D-myo-inositol (1,3,4,5)-tetrakisphosphate	REACTION578
REACTION578	D-myo-inositol (1,3,4)-trisphosphate
REACTION578	phosphate
peptidylproline (omega = 180)	REACTION579
REACTION579	peptidylproline (omega = 0)
reduced c-type cytochrome	REACTION580
REACTION580	oxidized c-type cytochrome
ADP-D-ribosyl(n)-acceptor	REACTION581
NAD+	REACTION581
REACTION581	ADP-D-ribosyl(n+1)-acceptor
REACTION581	nicotinamide
plasminogen	REACTION582
REACTION582	plasmin
RNA	REACTION583
REACTION583	ribonucleoside 3'-phosphate
REACTION583	3' phosphooligonucleotide
(3R)-3-hydroxyoctanoyl-[acp]	REACTION584
REACTION584	trans oct-2-enoyl-[acp]
complement component protein C2	REACTION585
REACTION585	complement component protein C2a
REACTION585	complement component protein C2b
mitochondrial intermediate protein	REACTION586
REACTION586	octapeptide
REACTION586	mature protein
S-adenosyl-L-methionine	REACTION587
methylarsonite	REACTION587
REACTION587	S-adenosyl-L-homocysteine
REACTION587	cacodylate
[protein] (L-serine/L-threonine) phosphate	REACTION588
REACTION588	[protein]-(L-serine/L-threonine)
REACTION588	phosphate
desmosterol	REACTION589
NADPH	REACTION589
REACTION589	cholesterol
REACTION589	NADP+
protein	REACTION590
REACTION590	peptide
keratan	REACTION591
3'-phosphoadenylyl-sulfate	REACTION591
REACTION591	keratan sulfate
REACTION591	adenosine 3',5'-bisphosphate
D-myo-inositol (1,4,5,6)-tetrakisphosphate	REACTION592
REACTION592	D-myo-inositol (1,4,5)-trisphosphate
REACTION592	phosphate
peptidylproline (omega = 180)	REACTION593
REACTION593	peptidylproline (omega = 0)
D-ribose 5-phosphate	REACTION594
REACTION594	D-ribulose 5-phosphate
RH	REACTION595
reduced [NADPH-hemoprotein reductase]	REACTION595
REACTION595	ROH
REACTION595	oxidized [NADPH-hemoprotein reductase]
dolichol	REACTION596
CTP	REACTION596
REACTION596	dolichyl phosphate
REACTION596	CDP
RH	REACTION597
reduced [NADPH-hemoprotein reductase]	REACTION597
REACTION597	ROH
REACTION597	oxidized [NADPH-hemoprotein reductase]
3-hydroxy-L-kynurenine	REACTION598
2-oxoglutarate	REACTION598
REACTION598	4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate
REACTION598	L-glutamate
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate	REACTION599
ATP	REACTION599
coenzyme A	REACTION599
REACTION599	(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA
REACTION599	AMP
REACTION599	diphosphate
2-acyl 1-lyso-phosphatidylcholine	REACTION600
REACTION600	carboxylate
REACTION600	sn-glycero-3-phosphocholine
L-1-phosphatidyl-inositol	REACTION601
REACTION601	1-acyl-sn-glycero-3-phospho-D-myo-inositol
REACTION601	carboxylate
L-glutamate[mitochondrial lumen]	REACTION602
ATP[mitochondrial lumen]	REACTION602
REACTION602	gamma-L-glutamyl 5-phosphate[mitochondrial lumen]
REACTION602	ADP[mitochondrial lumen]
D-hexose	REACTION603
ATP	REACTION603
REACTION603	D-hexose 6-phosphate
REACTION603	ADP
(deoxynucleotides)(m)	REACTION604
(deoxynucleotides)(n)	REACTION604
NAD+	REACTION604
REACTION604	(deoxynucleotides)(n+m)
REACTION604	beta-nicotinamide D-ribonucleotide
REACTION604	AMP
L-thyroxine	REACTION605
3'-phosphoadenylyl-sulfate	REACTION605
REACTION605	adenosine 3',5'-bisphosphate
REACTION605	thyroxine sulfate
[chondroitin]-N-acetyl-galactosamine	REACTION606
3'-phosphoadenylyl-sulfate	REACTION606
REACTION606	[chondroitin]-4-O-sulfo-N-acetylgalactosamine
REACTION606	adenosine 3',5'-bisphosphate
1D-myo-inositol 6-monophosphate	REACTION607
REACTION607	myo-inositol
REACTION607	phosphate
alpha-D-mannoside	REACTION608
REACTION608	alpha-D-mannose
REACTION608	non glycosylated sugar acceptor
(4S)-limonene	REACTION609
NADPH	REACTION609
REACTION609	(4S)-perillyl alcohol
REACTION609	NADP+
protein	REACTION610
REACTION610	peptide
REACTION610	peptide
2-oxoglutarate	REACTION611
(S)-3-amino-2-methylpropanoate	REACTION611
REACTION611	L-glutamate
REACTION611	(S)-methylmalonate-semialdehyde
linamarin	REACTION612
REACTION612	acetone cyanohydrin
REACTION612	beta-D-glucose
tRNAtyr	REACTION613
L-tyrosine	REACTION613
ATP	REACTION613
REACTION613	L-tyrosyl-[tRNAtyr]
REACTION613	AMP
REACTION613	diphosphate
peptidylproline (omega = 180)	REACTION614
REACTION614	peptidylproline (omega = 0)
arylamine	REACTION615
acetyl-CoA	REACTION615
REACTION615	N-acetylarylamine
REACTION615	coenzyme A
UDP-N-acetyl-alpha-D-glucosamine	REACTION616
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R	REACTION616
REACTION616	N-acetyl-beta-D-glucosaminyl-(1->6)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R
REACTION616	UDP
starch	REACTION617
REACTION617	large-branched glucan
1-chloro-2,4-dinitrobenzene	REACTION618
glutathione	REACTION618
REACTION618	2,4-dinitrophenyl-S-glutathione
REACTION618	chloride
UDP-N-acetyl-alpha-D-galactosamine	REACTION619
[glycoprotein]-(L-serine/L-threonine)	REACTION619
REACTION619	N-acetyl-alpha-D-galactosalaminyl-[glycoprotein]
REACTION619	UDP
D-myo-inositol (1,4,5,6)-tetrakisphosphate	REACTION620
ATP	REACTION620
REACTION620	D-myo-inositol 1,3,4,5,6-pentakisphosphate
REACTION620	ADP
D-glyceraldehyde 3-phosphate	REACTION621
NAD+	REACTION621
phosphate	REACTION621
REACTION621	1,3-bisphospho-D-glycerate
REACTION621	NADH
ubiquitin C-terminal thioester	REACTION622
REACTION622	ubiquitin
REACTION622	thiol
non-glucuronosylated glucuronoside acceptor	REACTION623
UDP-alpha-D-glucuronate	REACTION623
REACTION623	glucuronosylated glucuronoside acceptor
REACTION623	UDP
(R)-pantothenate	REACTION624
ATP	REACTION624
REACTION624	(R)-4'-phosphopantothenate
REACTION624	ADP
protein	REACTION625
L-arginyl-[tRNAarg]	REACTION625
REACTION625	[protein] with an N-terminal L-arginine
REACTION625	tRNAarg
L-cysteine	REACTION626
L-homocysteine	REACTION626
REACTION626	L-cystathionine
REACTION626	hydrogen sulfide
[protein]-(L-serine/L-threonine)	REACTION627
ATP	REACTION627
REACTION627	[protein] (L-serine/L-threonine) phosphate
REACTION627	ADP
dipeptide	REACTION628
REACTION628	amino acids
(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate	REACTION629
REACTION629	(12Z,15Z)-9,10-dihydroxyoctadeca-12,15-dienoate
prothrombin	REACTION630
REACTION630	thrombin
REACTION630	peptide
REACTION630	peptide
[protein]-(L-serine/L-threonine)	REACTION631
ATP	REACTION631
REACTION631	[protein] (L-serine/L-threonine) phosphate
REACTION631	ADP
MoO2-molybdopterin cofactor	REACTION632
L-cysteine	REACTION632
REACTION632	thio-molybdenum cofactor
REACTION632	L-alanine
tRNA precursor with a 5' extension and a short 3' extension	REACTION633
REACTION633	tRNA precursor with a short 3' extension
REACTION633	single-stranded RNA
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION634
REACTION634	1-phosphatidyl-1D-myo-inositol 4-phosphate
REACTION634	phosphate
non-glucuronosylated glucuronoside acceptor	REACTION635
UDP-alpha-D-glucuronate	REACTION635
REACTION635	glucuronosylated glucuronoside acceptor
REACTION635	UDP
D-ribofuranose 5-phosphate	REACTION636
uracil	REACTION636
REACTION636	pseudouridine 5'-phosphate
(R)-noradrenaline	REACTION637
REACTION637	3,4-dihydroxyphenylglycolaldehyde
REACTION637	ammonium
acetate	REACTION638
ATP	REACTION638
coenzyme A	REACTION638
REACTION638	acetyl-CoA
REACTION638	AMP
REACTION638	diphosphate
dimethylglycine	REACTION639
oxidized electron-transfer flavoprotein	REACTION639
tetrahydrofolate	REACTION639
REACTION639	sarcosine
REACTION639	5,10-methenyltetrahydrofolate
REACTION639	reduced electron-transfer flavoprotein
7alpha-hydroxycholest-4-en-3-one	REACTION640
NADPH	REACTION640
REACTION640	7alpha,12alpha-dihydroxycholest-4-en-3-one
REACTION640	NADP+
[protein]-(L-serine/L-threonine)	REACTION641
ATP	REACTION641
REACTION641	[protein] (L-serine/L-threonine) phosphate
REACTION641	ADP
protein	REACTION642
REACTION642	peptide
REACTION642	peptide
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate	REACTION643
ATP	REACTION643
coenzyme A	REACTION643
REACTION643	(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA
REACTION643	AMP
REACTION643	diphosphate
protein	REACTION644
REACTION644	peptide
REACTION644	peptide
[histone]-N6-acetyl-L-lysine	REACTION645
REACTION645	[histone]-L-lysine
REACTION645	acetate
ATP	REACTION646
mitogen-activated protein kinase kinase	REACTION646
REACTION646	ADP
REACTION646	phosphorylated mitogen-activated protein kinase kinase
1-O-methylsalicylate	REACTION647
REACTION647	salicylate
REACTION647	methanol
1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	REACTION648
REACTION648	1D-myo-inositol 1,2,3,4,5,6-hexakisphosphate
REACTION648	phosphate
peptide with an N-terminal L-methionine	REACTION649
REACTION649	L-methionine
REACTION649	peptide
L-asparagine	REACTION650
REACTION650	L-aspartate
REACTION650	ammonium
hexanoyl-[acyl-carrier-protein]	REACTION651
malonyl-CoA	REACTION651
REACTION651	3-oxo-octanoyl-[acp]
REACTION651	coenzyme A
[heparan sulfate]-alpha-N-acetyl-D-glucosamine 6-O-sulfate	REACTION652
REACTION652	[heparan]-N-acetyl-alpha-D-glucosamine
REACTION652	sulfate
N-modified aminoacyl-[tRNA]	REACTION653
REACTION653	tRNA
REACTION653	N-modified amino acid
ATP	REACTION654
[protein]-L-tyrosine	REACTION654
REACTION654	ADP
REACTION654	[protein]-L-tyrosine phosphate
1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate	REACTION655
ATP	REACTION655
REACTION655	1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
REACTION655	ADP
N3-methylcytosine	REACTION656
2-oxoglutarate	REACTION656
REACTION656	cytosine
REACTION656	formaldehyde
REACTION656	succinate
(S)-malate	REACTION657
NADP+	REACTION657
REACTION657	pyruvate
REACTION657	NADPH
[protein]-(L-serine/L-threonine)	REACTION658
ATP	REACTION658
REACTION658	[protein] (L-serine/L-threonine) phosphate
REACTION658	ADP
2-trans-4-cis-dienoyl-CoA	REACTION659
NADPH	REACTION659
REACTION659	trans-3-enoyl-CoA
REACTION659	NADP+
ATP	REACTION660
mitogen-activated protein kinase kinase	REACTION660
REACTION660	ADP
REACTION660	phosphorylated mitogen-activated protein kinase kinase
adenosine pentaphosphate	REACTION661
REACTION661	adenosine tetraphosphate
REACTION661	phosphate
nucleoside cyclic 3',5'-monophosphate	REACTION662
REACTION662	nucleoside 5'-monophosphate
[protein]-(L-serine/L-threonine)	REACTION663
ATP	REACTION663
REACTION663	[protein] (L-serine/L-threonine) phosphate
REACTION663	ADP
ATP	REACTION664
protein	REACTION664
REACTION664	ADP
REACTION664	phosphoprotein
prostaglandin F2alpha	REACTION665
NADP+	REACTION665
REACTION665	prostaglandin E2
REACTION665	NADPH
polypeptide	REACTION666
REACTION666	peptide
REACTION666	tripeptide
melatonin	REACTION667
reduced flavoprotein	REACTION667
REACTION667	N-acetyl-serotonin
REACTION667	oxidized flavoprotein
REACTION667	formaldehyde
ubiquitin C-terminal thioester	REACTION668
REACTION668	ubiquitin
REACTION668	thiol
UDP-N-acetyl-D-galactosamine	REACTION669
D-glucuronosyl-1,3-beta-D-galactosyl-[proteoglycan]	REACTION669
REACTION669	N-acetyl-D-galactosaminyl-1,4-beta-D-glucuronyl-1,3-beta-D-galactosyl-[proteoglycan]
REACTION669	UDP
carbonic acid	REACTION670
nucleoside cyclic 3',5'-monophosphate	REACTION671
REACTION671	nucleoside 5'-monophosphate
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION672
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION672
REACTION672	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION672	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
ATP	REACTION673
1,2-diacyl-sn-glycerol	REACTION673
REACTION673	1,2-diacyl-sn-glycerol 3-phosphate
REACTION673	ADP
ATP	REACTION674
protein	REACTION674
REACTION674	ADP
REACTION674	phosphoprotein
19-hydroxytestosterone	REACTION675
reduced flavoprotein	REACTION675
REACTION675	19-oxo-testosterone
REACTION675	oxidized flavoprotein
1D-myo-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate	REACTION676
ATP	REACTION676
REACTION676	3,5-bisdiphosphoinositol-1D-myo-inositol 2,3,4,6-tetrakisphosphate
REACTION676	ADP
peptide	REACTION677
REACTION677	basic amino acid
REACTION677	peptide
[protein]-(L-serine/L-threonine)	REACTION678
ATP	REACTION678
REACTION678	[protein] (L-serine/L-threonine) phosphate
REACTION678	ADP
ATP	REACTION679
protein	REACTION679
REACTION679	ADP
REACTION679	phosphoprotein
phosphatidylcholine	REACTION680
REACTION680	1-acyl 2-lyso-phosphatidylcholine
REACTION680	fatty acid
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION681
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION681
REACTION681	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION681	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
ATP	REACTION682
G-protein-coupled-receptor	REACTION682
REACTION682	ADP
REACTION682	phosphorylated G-protein-coupled-receptor
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION683
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION683
REACTION683	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION683	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION684
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION684
REACTION684	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION684	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
protein	REACTION685
REACTION685	standard alpha amino acid
REACTION685	peptide
dinucleotide (nucleic acid)	REACTION686
REACTION686	nucleoside 5'-monophosphate
[protein] (L-serine/L-threonine) phosphate	REACTION687
REACTION687	[protein]-(L-serine/L-threonine)
REACTION687	phosphate
quinone	REACTION688
NAD(P)H	REACTION688
REACTION688	quinol
REACTION688	NAD(P)+
quinone	REACTION689
NADPH	REACTION689
REACTION689	semiquinone
REACTION689	NADP+
ATP	REACTION690
acetyl-CoA	REACTION690
hydrogen carbonate	REACTION690
REACTION690	malonyl-CoA
REACTION690	ADP
REACTION690	phosphate
melatonin	REACTION691
reduced flavoprotein	REACTION691
REACTION691	N-acetyl-serotonin
REACTION691	oxidized flavoprotein
REACTION691	formaldehyde
dopamine	REACTION692
REACTION692	3,4-dihydroxyphenylacetaldehyde
REACTION692	ammonium
[protein]-(L-serine/L-threonine)	REACTION693
ATP	REACTION693
REACTION693	[protein] (L-serine/L-threonine) phosphate
REACTION693	ADP
D-threo-isocitrate	REACTION694
NADP+	REACTION694
REACTION694	oxalosuccinate
REACTION694	NADPH
alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-R	REACTION695
CMP-N-acetyl-beta-neuraminate	REACTION695
REACTION695	alpha-N-acetylneuraminyl-2,8-alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-R
REACTION695	CMP
hydrogen cyanide	REACTION696
thiosulfate	REACTION696
REACTION696	sulfite
REACTION696	thiocyanate
[protein]-(L-serine/L-threonine)	REACTION697
ATP	REACTION697
REACTION697	[protein] (L-serine/L-threonine) phosphate
REACTION697	ADP
long-chain fatty acid	REACTION698
ATP	REACTION698
coenzyme A	REACTION698
REACTION698	long-chain acyl-CoA
REACTION698	AMP
REACTION698	diphosphate
nucleoside triphosphate	REACTION699
RNA(n)	REACTION699
REACTION699	RNA(n+1)
REACTION699	diphosphate
peptide	REACTION700
REACTION700	peptide
REACTION700	L-glutamate
alpha-D-ribofuranose	REACTION701
ATP	REACTION701
REACTION701	alpha-D-ribose 5-phosphate
REACTION701	ADP
CDP	REACTION702
ATP	REACTION702
REACTION702	CTP
REACTION702	ADP
[protein]-(L-serine/L-threonine)	REACTION703
ATP	REACTION703
REACTION703	[protein] (L-serine/L-threonine) phosphate
REACTION703	ADP
3-phospho-L-serine	REACTION704
REACTION704	L-serine
REACTION704	phosphate
all-trans-retinol	REACTION705
cellular-retinol-binding protein	REACTION705
REACTION705	all-trans retinol-[cellular-retinol-binding-protein]
[procollagen]-L-proline	REACTION706
2-oxoglutarate	REACTION706
REACTION706	[procollagen]-3-hydroxy-L-proline
REACTION706	succinate
[protein]-(L-serine/L-threonine)	REACTION707
ATP	REACTION707
REACTION707	[protein] (L-serine/L-threonine) phosphate
REACTION707	ADP
protein cysteines	REACTION708
organic hydroperoxide	REACTION708
REACTION708	protein disulfide
REACTION708	alcohol
[protein]-(L-serine/L-threonine)	REACTION709
ATP	REACTION709
REACTION709	[protein] (L-serine/L-threonine) phosphate
REACTION709	ADP
[heparan]-N-acetyl-alpha-D-glucosamine	REACTION710
REACTION710	[heparan]-alpha-D-glucosamine
REACTION710	acetate
[protein]-L-tyrosine phosphate	REACTION711
REACTION711	[protein]-L-tyrosine
REACTION711	phosphate
factor Va	REACTION712
REACTION712	peptide
UDP-alpha-D-galactose	REACTION713
beta-D-glucose	REACTION713
REACTION713	alpha-lactose
REACTION713	UDP
choline	REACTION714
ATP	REACTION714
REACTION714	phosphocholine
REACTION714	ADP
oligopeptide	REACTION715
REACTION715	peptide
REACTION715	dipeptide
reduced thioredoxin	REACTION716
NADP+	REACTION716
REACTION716	oxidized thioredoxin
REACTION716	NADPH
GDP	REACTION717
ATP	REACTION717
REACTION717	GTP
REACTION717	ADP
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION718
REACTION718	1-phosphatidyl-1D-myo-inositol 5-phosphate
REACTION718	phosphate
amino-parathion	REACTION719
REACTION719	diethylthiophosphate
REACTION719	4-aminophenol
[protein] (L-serine/L-threonine) phosphate	REACTION720
REACTION720	[protein]-(L-serine/L-threonine)
REACTION720	phosphate
triglyceride	REACTION721
REACTION721	1,2-diglyceride
REACTION721	fatty acid
guanine10 in tRNA	REACTION722
S-adenosyl-L-methionine	REACTION722
REACTION722	N2-methylguanine10 in tRNA
REACTION722	S-adenosyl-L-homocysteine
3-phospho-D-glycerate	REACTION723
NAD+	REACTION723
REACTION723	3-phospho-hydroxypyruvate
REACTION723	NADH
polycistronic tRNA precursor	REACTION724
REACTION724	tRNA precursor with a 5' extension and a short 3' extension
REACTION724	partially processed polycistronic tRNA precursor
[keratan sulfate]-alpha-N-acetyl-D-glucosamine 6-O-sulfate	REACTION725
REACTION725	[keratan sulfate]-alpha-N-acetyl-D-glucosamine
REACTION725	sulfate
[protein]-(L-serine/L-threonine)	REACTION726
ATP	REACTION726
REACTION726	[protein] (L-serine/L-threonine) phosphate
REACTION726	ADP
peptidylproline (omega = 180)	REACTION727
REACTION727	peptidylproline (omega = 0)
3',5'-diiodothyronamine	REACTION728
unknown reduced electron acceptor	REACTION728
REACTION728	3'-iodothyronamine
REACTION728	iodide
REACTION728	unknown oxidized electron acceptor
[protein]-(L-serine/L-threonine)	REACTION729
ATP	REACTION729
REACTION729	[protein] (L-serine/L-threonine) phosphate
REACTION729	ADP
5,10-methylene-tetrahydrofolate	REACTION730
NADP+	REACTION730
REACTION730	5,10-methenyltetrahydrofolate
REACTION730	NADPH
ATP	REACTION731
1,2-diacyl-sn-glycerol	REACTION731
REACTION731	1,2-diacyl-sn-glycerol 3-phosphate
REACTION731	ADP
phosphatidylcholine	REACTION732
REACTION732	1-acyl 2-lyso-phosphatidylcholine
REACTION732	fatty acid
secondary alcohol	REACTION733
NADP+	REACTION733
REACTION733	ketone
REACTION733	NADPH
mitochondrial preprotein including a mitochondrial targeting sequence	REACTION734
REACTION734	processed mitochondrial protein
REACTION734	peptide
RNA 3'-terminal-phosphate	REACTION735
ATP	REACTION735
REACTION735	RNA terminal-2',3'-cyclic-phosphate
REACTION735	AMP
REACTION735	diphosphate
deoxyribonucleoside triphosphate	REACTION736
(deoxynucleotides)(n)	REACTION736
REACTION736	(deoxynucleotides)(n+1)
REACTION736	diphosphate
orotate	REACTION737
e-	REACTION737
REACTION737	(S)-dihydroorotate
NADH	REACTION738
ubiquinone[inner membrane]	REACTION738
REACTION738	NAD+
REACTION738	ubiquinol[inner membrane]
hydrogen carbonate	REACTION739
hydrogen carbonate[mitochondrial intermembrane space]	REACTION740
hydrogen carbonate[mitochondrial lumen]	REACTION741
insulin-like growth factor-binding protein 4	REACTION742
REACTION742	peptide
REACTION742	peptide
big endothelin	REACTION743
REACTION743	endothelin 1
REACTION743	peptide
cholesterol	REACTION744
reduced  adrenodoxin	REACTION744
REACTION744	(22R)-hydroxycholesterol
REACTION744	oxidized adrenodoxin
[protein]-(L-serine/L-threonine)	REACTION745
ATP	REACTION745
REACTION745	[protein] (L-serine/L-threonine) phosphate
REACTION745	ADP
pyruvate[mitochondrial lumen]	REACTION746
[pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine[mitochondrial lumen]	REACTION746
REACTION746	[pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine[mitochondrial lumen]
4-hydroxyphenylpyruvate	REACTION747
REACTION747	homogentisate
ATP	REACTION748
[protein]-L-tyrosine	REACTION748
REACTION748	ADP
REACTION748	[protein]-L-tyrosine phosphate
phosphatidylcholine	REACTION749
REACTION749	1-acyl 2-lyso-phosphatidylcholine
REACTION749	fatty acid
phosphatidylcholine	REACTION750
REACTION750	1-acyl 2-lyso-phosphatidylcholine
